id,district_id,event_id,address,type,latitude,longitude,land_area,polygon,geometry,created_at,updated_at,location
003eb24f-c5a4-4786-b9c4-674933d8dcd1,350923,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Cendrawasih No. 90, Mumbulsari, Jember",crime,-8.24623334542963,113.727043306854,,,,2025-04-25 09:51:39.883496+00,2025-04-25 09:51:39.883496+00,0101000020E6100000C16DA6E0876E5C40229C0B4C127E20C0
00594c68-9f08-4fb5-b30a-df66366da315,350902,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Pantai No. 31, Kencong, Jember",crime,-8.30468850701728,113.350942739454,,,,2025-04-25 09:51:05.808345+00,2025-04-25 09:51:05.808345+00,0101000020E6100000652E89D875565C406A36CA21009C20C0
00652814-27fa-4d60-b20a-44e8a3445b96,350906,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Merdeka No. 69, Tanggul, Jember",crime,-8.07855642812924,113.482448342254,,,,2025-04-25 09:51:12.448753+00,2025-04-25 09:51:12.448753+00,0101000020E610000066FF026FE05E5C404F69538C382820C0
00746bc5-2543-4409-8a69-7e33dcab9190,350919,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Pantai No. 124, Kaliwates, Jember",crime,-8.17454087560611,113.68818015864,,,,2025-04-25 09:51:33.647352+00,2025-04-25 09:51:33.647352+00,0101000020E61000004BC7CA240B6C5C404016F16B5D5920C0
0076b4ae-9c76-4971-b42b-14ac2d16c124,350913,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Pahlawan No. 68, Rambipuji, Jember",crime,-8.23305936146641,113.597476404575,,,,2025-04-25 09:51:23.315419+00,2025-04-25 09:51:23.315419+00,0101000020E61000000F72AC0D3D665C40BC0C7F8E537720C0
00ed211f-569a-4b4c-aecf-5fe3acaabbe0,350928,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Srikandi No. 138, Ledokombo, Jember",crime,-8.13524454697441,113.907378548984,,,,2025-04-25 09:51:47.079893+00,2025-04-25 09:51:47.079893+00,0101000020E6100000873E7A7D127A5C40526FF4C53E4520C0
0102b298-4564-4013-9461-b872fc570426,350912,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Cendrawasih No. 146, Ambulu, Jember",crime,-8.40313882474277,113.579114250048,,,,2025-04-25 09:51:22.773255+00,2025-04-25 09:51:22.773255+00,0101000020E61000009C26373510655C404309483668CE20C0
0104dcde-9deb-4ace-947d-d90e94f6b0ce,350911,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Cendrawasih No. 93, Wuluhan, Jember",crime,-8.38957627556696,113.531395654569,,,,2025-04-25 09:51:19.565472+00,2025-04-25 09:51:19.565472+00,0101000020E61000002F67EB6202625C4016B7A58A76C720C0
011093fa-fec2-4f79-a703-4af3fe97e324,350904,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Abdurrahman Saleh No. 82, Gumukmas, Jember",crime,-8.3539597141622,113.40118966592,,,,2025-04-25 09:51:08.78558+00,2025-04-25 09:51:08.78558+00,0101000020E6100000A6A76B17AD595C4038DB28353AB520C0
01273256-c742-4f3b-95c9-8a8ca244d8d2,350923,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Abdurrahman Saleh No. 36, Mumbulsari, Jember",crime,-8.26414607129812,113.733350823105,,,,2025-04-25 09:51:39.061973+00,2025-04-25 09:51:39.061973+00,0101000020E6100000C76E4A38EF6E5C40452F63273E8720C0
0135882c-fd9c-4984-ae90-0a83c8d28ab5,350905,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Taman Siswa No. 188, Umbulsari, Jember",crime,-8.25181887640499,113.444060318345,,,,2025-04-25 09:51:10.434467+00,2025-04-25 09:51:10.434467+00,0101000020E61000008B2FF87B6B5C5C408F595D67EE8020C0
01518157-8131-4342-b591-dc68edea6e26,350918,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Raya Sumberbaru No. 13, Tempurejo, Jember",crime,-8.4978282340182,113.74221357053,,,,2025-04-25 09:51:31.660645+00,2025-04-25 09:51:31.660645+00,0101000020E6100000B904596D806F5C406A44A057E3FE20C0
01621b30-cdcf-494d-a52a-60e66dd8801e,350922,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Abdurrahman Saleh No. 128, Arjasa, Jember",crime,-8.09410673930554,113.726747579181,,,,2025-04-25 09:51:38.507932+00,2025-04-25 09:51:38.507932+00,0101000020E6100000ED414708836E5C400F4D2FC22E3020C0
01810cd2-2090-4c20-b0ea-674d6e8ba5ae,350924,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Taman Siswa No. 41, Pakusari, Jember",crime,-8.1571057187003,113.761665831728,,,,2025-04-25 09:51:41.213351+00,2025-04-25 09:51:41.213351+00,0101000020E61000002B700B22BF705C402DAA2729705020C0
019e492d-f31f-4ff0-88d9-cab91bcf98b7,350916,b48b6941-7c14-4dbe-92d9-eb831e9bee4f,"Jalan Merdeka No. 33, Jenggawah, Jember",crime,-8.28431574822244,113.627388232724,,,,2025-04-25 09:51:29.442481+00,2025-04-25 09:51:29.442481+00,0101000020E61000007B5CF92027685C40D0B470D5919120C0
